Comment,Description,Designator,Footprint,LibRef,Quantity

"1uF","Capacitor","C1, C4, C5","0805C","CAP","3"
"104","Capacitor","C2, C3, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C38, C39, C42, C43","0805C","CAP","35"
"470pF","Capacitor","C6","0805C","CAP","1"
"100uF/25V","Electrolytic Capacitor","C36, C37","1016V","ELECTRO1","2"
"20PF","Capacitor","C40, C41","0805C","CAP","2"
"Res2","Resistor","FB1, FB2","0805","Res2","2"
"PHONE","","J1","SOUND-2","PHONEJACK STEREO SW","1"
"UART1","Connector","J2","4SIP4","CON4","1"
"","","JP1","JYNJ_10","HEADER 5X2","1"
"小方按键","小方按键6*6","K1, K2, K3, K4, K5, K6, K7, K8, K9, K10, K11, K12, K13, K14, K15, K16, K17, K18, K19, K20, K21, K22, K23, K24, K25, K26","4KEY-1","SW-PB","26"
"104","直插电阻","R1, R2, R5, R6","0805R","RES1","4"
"103","直插电阻, 直插电阻, 直插电阻, [NoValue], 直插电阻, 直插电阻, 直插电阻, 直插电阻, 直插电阻, 直插电阻, 直插电阻, 直插电阻, 直插电阻, 直插电阻, 直插电阻, 直插电阻, 直插电阻, 直插电阻, 直插电阻, 直插电阻, 直插电阻, 直插电阻, 直插电阻, 直插电阻, 直插电阻, 直插电阻, 直插电阻, 直插电阻, 直插电阻, 直插电阻, 直插电阻, 直插电阻, 直插电阻, 直插电阻","R3, R4, R9, R10, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R39, R40, R41, R42","0805R","RES1, RES1, RES1, RES2, RES1, RES1, RES1, RES1, RES1, RES1, RES1, RES1, RES1, RES1, RES1, RES1, RES1, RES1, RES1, RES1, RES1, RES1, RES1, RES1, RES1, RES1, RES1, RES1, RES1, RES1, RES1, RES1, RES1, RES1","34"
"223","","R7","0805R","RES2","1"
"1K","","R8","0805R","RES2","1"
"stm32f051r8t6","32位STM单片机","U1","LC-LQFP-64_10x10x05P","STM32F105RB_1","1"
"IMP809","","U2","SOT23","IMP809","1"
"AMS1117-3.3","","U3","to-252","LM1117","1"
"LM358","","U4","SOP8","LM139","1"
"Micro-USB母座","Connector","USB1","Micro-USB","CON9","1"
"10K","","VR1","VR8","RESISTOR VAR","1"
"8Mhz","Crystal","Y1","2XTAL","CRYSTAL","1"
